i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
197,197,1,128,128,16,16,8,1,[197; 197; 1; 128; 128; 16; 16; 8; 1],0.004561220594041515,0.37908649827546687,tvm
197,197,1,768,96,16,64,32,1,[197; 197; 1; 768; 96; 16; 64; 32; 1],0.01133164368729922,0.15259014407549334,tvm
197,197,1,768,768,48,2,2,3,[197; 197; 1; 768; 768; 48; 2; 2; 3],0.006051521157132811,0.2857293394437016,tvm
197,1,1,192,16,16,64,4,1,[197; 1; 1; 192; 16; 16; 64; 4; 1],0.013802191628201399,0.12527699871404163,tvm
197,197,1,384,192,192,96,4,12,[197; 197; 1; 384; 192; 192; 96; 4; 12],0.005308160718414001,0.32574317820839666,tvm
1,1,1,384,64,64,12,4,4,[1; 1; 1; 384; 64; 64; 12; 4; 4],0.02137829487764975,0.08088096608045446,tvm
1,1,1,384,192,48,16,16,3,[1; 1; 1; 384; 192; 48; 16; 16; 3],0.021651263123203535,0.0798612595033349,tvm
1,1,1,96,32,16,128,2,1,[1; 1; 1; 96; 32; 16; 128; 2; 1],0.027099069746327586,0.06380651288192159,tvm
197,197,1,96,48,16,256,64,1,[197; 197; 1; 96; 48; 16; 256; 64; 1],0.012946763621584978,0.1335543919234282,tvm
1,1,1,128,16,16,2,2,1,[1; 1; 1; 128; 16; 16; 2; 2; 1],0.028236297745024785,0.06123668047670337,tvm
1,1,1,768,768,192,256,64,12,[1; 1; 1; 768; 768; 192; 256; 64; 12],0.022857376374304295,0.07564722715949813,tvm
197,1,1,192,32,32,96,12,2,[197; 1; 1; 192; 32; 32; 96; 12; 2],0.007064153000101214,0.24477062470651026,tvm
1,1,1,768,192,96,6,6,6,[1; 1; 1; 768; 192; 96; 6; 6; 6],0.021758792623586487,0.07946659416124059,tvm
197,1,1,768,16,16,24,12,1,[197; 1; 1; 768; 16; 16; 24; 12; 1],0.028375571753713302,0.0609361163843639,tvm
197,1,1,384,32,16,32,1,1,[197; 1; 1; 384; 32; 16; 32; 1; 1],0.019442098506260663,0.08893572585800581,tvm
197,1,1,48,48,16,192,1,1,[197; 1; 1; 48; 48; 16; 192; 1; 1],0.01337637125106994,0.12926503835775616,tvm
1,1,1,768,128,128,768,32,8,[1; 1; 1; 768; 128; 128; 768; 32; 8],0.022116512998763938,0.07818127310366602,tvm
197,197,1,192,64,16,768,24,1,[197; 197; 1; 192; 64; 16; 768; 24; 1],0.013722610121476464,0.12600351737393112,tvm
197,197,1,768,192,32,48,16,2,[197; 197; 1; 768; 192; 32; 48; 16; 2],0.006227650186701794,0.27764840526036105,tvm
197,197,1,768,192,48,16,8,3,[197; 197; 1; 768; 192; 48; 16; 8; 3],0.0035938628443545895,0.48112496712925223,tvm
197,197,1,768,768,96,48,6,6,[197; 197; 1; 768; 768; 96; 48; 6; 6],0.005437551124487072,0.31799188702253345,tvm
1,1,1,32,16,16,48,6,1,[1; 1; 1; 32; 16; 16; 48; 6; 1],0.028463390757679008,0.06074810824815935,tvm
197,197,1,768,384,32,384,3,2,[197; 197; 1; 768; 384; 32; 384; 3; 2],0.007435992622049525,0.23253077709221356,tvm
197,1,1,768,192,32,192,6,2,[197; 1; 1; 768; 192; 32; 192; 6; 2],0.021348533628042787,0.08099371942744832,tvm
197,197,1,384,384,48,256,1,3,[197; 197; 1; 384; 384; 48; 256; 1; 3],0.005742036219089641,0.3011296127162498,tvm
197,1,1,256,128,128,6,2,8,[197; 1; 1; 256; 128; 128; 6; 2; 8],0.005877356312339543,0.29419641263315843,tvm
197,1,1,32,16,16,768,64,1,[197; 1; 1; 32; 16; 16; 768; 64; 1],0.013738551999267656,0.12585730599187697,tvm
