i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
16,2,2,512,128,32,512,16,2,[16; 2; 2; 512; 128; 32; 512; 16; 2],0.024853542126948014,0.1607245847570367,tvm
4,2,1,32,32,16,32,32,1,[4; 2; 1; 32; 32; 16; 32; 32; 1],0.03562000050442293,0.11214416568015578,tvm
8,2,1,256,256,64,8,4,4,[8; 2; 1; 256; 256; 64; 8; 4; 4],0.03360395674826577,0.11887216937039384,tvm
32,32,16,512,16,16,64,1,1,[32; 32; 16; 512; 16; 16; 64; 1; 1],0.020960386871593073,0.19057736207669695,tvm
4,4,1,1024,1024,32,1024,2,2,[4; 4; 1; 1024; 1024; 32; 1024; 2; 2],0.04986483050743118,0.08010806810022027,tvm
64,1,1,512,256,64,1024,32,4,[64; 1; 1; 512; 256; 64; 1024; 32; 4],0.048848101490875706,0.08177544502607499,tvm
16,16,4,512,32,16,128,1,1,[16; 16; 4; 512; 32; 16; 128; 1; 1],0.023245336502441205,0.1718441562536955,tvm
16,4,1,512,128,16,8,4,1,[16; 4; 1; 512; 128; 16; 8; 4; 1],0.0206219020037679,0.19370547088068674,tvm
32,16,4,512,128,16,2048,8,1,[32; 16; 4; 512; 128; 16; 2048; 8; 1],0.017012052252539434,0.23480854507127188,tvm
16,4,2,512,128,32,64,32,2,[16; 4; 2; 512; 128; 32; 64; 32; 2],0.017746899000485428,0.22508581572397382,tvm
64,64,1,256,128,64,256,16,4,[64; 64; 1; 256; 128; 64; 256; 16; 4],0.015464258249267004,0.25831017393185207,tvm
64,16,16,1024,512,16,512,32,1,[64; 16; 16; 1024; 512; 16; 512; 32; 1],0.024429104494629428,0.16351705560772473,tvm
16,8,4,256,32,16,1024,4,1,[16; 8; 4; 256; 32; 16; 1024; 4; 1],0.018926268749055453,0.2110598391610916,tvm
64,64,8,256,256,32,32,16,2,[64; 64; 8; 256; 256; 32; 32; 16; 2],0.006640600251557771,0.6015382776817773,tvm
64,8,2,512,128,32,1024,64,2,[64; 8; 2; 512; 128; 32; 1024; 64; 2],0.02509235148318112,0.1591949339930424,tvm
64,64,4,256,32,32,1,1,2,[64; 64; 4; 256; 32; 32; 1; 1; 2],0.019360632009920664,0.20632463010754817,tvm
32,16,2,1024,256,64,256,8,4,[32; 16; 2; 1024; 256; 64; 256; 8; 4],0.011269672308117151,0.3544535394536792,tvm
32,8,1,256,64,32,1024,32,2,[32; 8; 1; 256; 64; 32; 1024; 32; 2],0.049094438494648784,0.08136512730521687,tvm
64,64,8,32,32,32,4,4,2,[64; 64; 8; 32; 32; 32; 4; 4; 2],0.010620769622619264,0.37610977170504784,tvm
32,8,2,512,512,32,512,8,2,[32; 8; 2; 512; 512; 32; 512; 8; 2],0.025018958127475344,0.1596619338719973,tvm
32,4,1,256,32,16,64,64,1,[32; 4; 1; 256; 32; 16; 64; 64; 1],0.033884353237226605,0.1178884900097975,tvm
8,1,1,1024,1024,64,256,64,4,[8; 1; 1; 1024; 1024; 64; 256; 64; 4],0.04979538277257234,0.08021979178952068,tvm
32,8,2,512,256,128,32,1,8,[32; 8; 2; 512; 256; 128; 32; 1; 8],0.015247444636770524,0.2619832590480097,tvm
64,64,16,512,512,16,256,64,1,[64; 64; 16; 512; 512; 16; 256; 64; 1],0.02938487526262179,0.13593983988002242,tvm
64,16,1,256,64,64,1024,1,4,[64; 16; 1; 256; 64; 64; 1024; 1; 4],0.04907965924940072,0.08138962859942867,tvm
64,8,2,1024,64,32,64,4,2,[64; 8; 2; 1024; 64; 32; 64; 4; 2],0.015198955123196356,0.26281906918711756,tvm
