kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
8,8,197,1,768,16,1,[8; 8; 197; 1; 768; 16; 1],0.021064295127871446,0.32834654705711364,tvm
6,6,1,1,384,128,8,[6; 6; 1; 1; 384; 128; 8],0.01263864837528672,0.5472411579194414,tvm
4,2,197,1,192,96,6,[4; 2; 197; 1; 192; 96; 6],0.013408146245637909,0.5158348100266799,tvm
64,16,197,1,128,128,8,[64; 16; 197; 1; 128; 128; 8],0.02093735350354109,0.33033728786490696,tvm
8,4,197,1,256,16,1,[8; 4; 197; 1; 256; 16; 1],0.025156737014185637,0.27493186288541666,tvm
12,6,197,1,128,16,1,[12; 6; 197; 1; 128; 16; 1],0.022915515743079595,0.3018212048540647,tvm
8,4,197,1,128,128,8,[8; 4; 197; 1; 128; 128; 8],0.015573151875287294,0.4441225916767717,tvm
16,2,1,1,96,32,2,[16; 2; 1; 1; 96; 32; 2],0.01968537224456668,0.35134659814916885,tvm
8,1,197,1,48,48,3,[8; 1; 197; 1; 48; 48; 3],0.014575413501006551,0.47452434683591915,tvm
8,4,197,1,768,16,1,[8; 4; 197; 1; 768; 16; 1],0.025859900750219822,0.26745611432285865,tvm
16,8,1,1,64,64,4,[16; 8; 1; 1; 64; 64; 4],0.015926642998238094,0.43426531078732067,tvm
12,6,1,1,192,32,2,[12; 6; 1; 1; 192; 32; 2],0.015951970737660304,0.43357580609773655,tvm
32,4,1,1,384,128,8,[32; 4; 1; 1; 384; 128; 8],0.01957510174543131,0.35332580445170897,tvm
8,1,1,1,384,192,12,[8; 1; 1; 1; 384; 192; 12],0.014692558004753664,0.4707409403584336,tvm
8,1,197,1,384,96,6,[8; 1; 197; 1; 384; 96; 6],0.014793462003581226,0.4675300865851577,tvm
16,16,1,1,768,32,2,[16; 16; 1; 1; 768; 32; 2],0.02476928888063412,0.27923242386002256,tvm
24,24,197,1,256,64,4,[24; 24; 197; 1; 256; 64; 4],0.014893870742525905,0.46437817884913346,tvm
6,6,1,1,768,32,2,[6; 6; 1; 1; 768; 32; 2],0.01551307387126144,0.4458425602060365,tvm
32,2,197,1,256,128,8,[32; 2; 197; 1; 256; 128; 8],0.012335301689745393,0.5606987770050502,tvm
16,16,1,1,768,192,12,[16; 16; 1; 1; 768; 192; 12],0.02370912750484422,0.29171839284323825,tvm
16,4,197,1,96,32,2,[16; 4; 197; 1; 96; 32; 2],0.015298831247491762,0.4520860750433149,tvm
16,1,1,1,64,16,1,[16; 1; 1; 1; 64; 16; 1],0.021472165259183384,0.32210950725942816,tvm
2,2,1,1,768,16,1,[2; 2; 1; 1; 768; 16; 1],0.024846971238730475,0.27835942276326936,tvm
3,3,1,1,768,192,12,[3; 3; 1; 1; 768; 192; 12],0.021824903757078573,0.3169035084145719,tvm
6,1,1,1,768,128,8,[6; 1; 1; 1; 768; 128; 8],0.013151910505257547,0.5258847046338787,tvm
12,4,1,1,128,16,1,[12; 4; 1; 1; 128; 16; 1],0.01828275049047079,0.3783013160428724,tvm
12,2,1,1,768,128,8,[12; 2; 1; 1; 768; 128; 8],0.020916680368827656,0.33066377883443376,tvm
