kc,ku,mc,mr,nc,nr,nvr,X,time,peak,backend
40,20,750,10,160,16,1,[40; 20; 750; 10; 160; 16; 1],0.4121566320536658,0.35492747880050324,tvm
128,2,750,10,160,16,1,[128; 2; 750; 10; 160; 16; 1],0.7073283670470119,0.2068144317418441,tvm
128,128,6,3,320,64,4,[128; 128; 6; 3; 320; 64; 4],0.5438992968993261,0.26895735133261495,tvm
4,1,1500,6,32,32,2,[4; 1; 1500; 6; 32; 32; 2],0.7243130229180679,0.20196477166235033,tvm
10,5,12,6,1280,64,4,[10; 5; 12; 6; 1280; 64; 4],0.4035706860013306,0.36247854306551885,tvm
40,8,500,2,160,160,10,[40; 8; 500; 2; 160; 160; 10],0.3114158029202372,0.46974403005226556,tvm
32,32,60,6,256,64,4,[32; 32; 60; 6; 256; 64; 4],0.25199886900372803,0.5805014715504543,tvm
40,10,300,25,160,16,1,[40; 10; 300; 25; 160; 16; 1],0.6646530049620196,0.22009336178969585,tvm
20,1,10,1,640,128,8,[20; 1; 10; 1; 640; 128; 8],0.3932741590542719,0.3719687930615519,tvm
160,5,20,10,640,16,1,[160; 5; 20; 10; 640; 16; 1],0.42686334799509495,0.34269916818296436,tvm
20,20,75,5,320,16,1,[20; 20; 75; 5; 320; 16; 1],0.372146088979207,0.39308679741059366,tvm
10,2,20,1,640,160,10,[10; 2; 20; 1; 640; 160; 10],0.6364202350378036,0.22985710735144185,tvm
40,1,30,2,640,64,4,[40; 1; 30; 2; 640; 64; 4],0.32038809009827673,0.4565891142858719,tvm
4,1,375,5,1280,32,2,[4; 1; 375; 5; 1280; 32; 2],0.8694790210574865,0.1682452488707516,tvm
1,1,300,12,128,16,1,[1; 1; 300; 12; 128; 16; 1],2.529126076027751,0.057840419926977645,tvm
5,5,15,1,320,32,2,[5; 5; 15; 1; 320; 32; 2],0.5870353799546137,0.24919403375146534,tvm
64,16,6,6,64,64,4,[64; 16; 6; 6; 64; 64; 4],0.23604115401394665,0.6197466492519813,tvm
64,2,25,25,80,16,1,[64; 2; 25; 25; 80; 16; 1],0.955933658988215,0.1530291489480001,tvm
64,1,4,4,320,64,4,[64; 1; 4; 4; 320; 64; 4],0.35524554492440075,0.4117876110644685,tvm
4,2,1500,12,640,32,2,[4; 2; 1500; 12; 640; 32; 2],1.0205577299930155,0.14333899003118172,tvm
4,4,500,4,640,16,1,[4; 4; 500; 4; 640; 16; 1],1.1180777049157768,0.1308368046715803,tvm
